dataset,seed,model,rmse,mae,r2,fit_time,truth_triplet,found_truth_triplet,n_terms
superconduct,0,RandomForest,9.325000764156282,5.269467952697478,0.9253023905584568,8.664323806762695,None,,
superconduct,1,Scratch3Way,11.139697214627448,7.411542745436199,0.8932077651765978,111.62062978744507,None,,91.0
superconduct,1,Scratch3Way_BIC0.1,11.103873702028666,7.437280951596188,0.8938935148006759,113.82614874839783,None,,91.0
superconduct,1,VanillaEBM,11.373700025190242,7.747611076070201,0.8886740418869254,53.03091478347778,None,,86.0
superconduct,1,XGBoost,9.425414057875027,5.337339803178888,0.9235471327569192,3.6168179512023926,None,,
superconduct,1,RandomForest,9.274746251223533,5.226321265705306,0.9259718365819811,8.547194004058838,None,,
superconduct,2,Scratch3Way,10.89539495335306,7.1905533430741935,0.8983818093062454,122.49007606506348,None,,91.0
superconduct,2,Scratch3Way_BIC0.1,10.958970347242907,7.262811078767962,0.8971924508627538,155.43786597251892,None,,91.0
superconduct,2,VanillaEBM,11.288307875342419,7.620061832540517,0.8909204860968365,54.668604135513306,None,,86.0
superconduct,2,XGBoost,9.088955689220473,5.274169336607119,0.9292846859189388,3.7390408515930176,None,,
superconduct,2,RandomForest,9.11484493799842,5.083363644049409,0.9288812570046119,8.204370021820068,None,,
diamonds,0,Scratch3Way,1352.7950194874084,773.1100901591608,0.8845513961219357,87.18844294548035,None,,12.0
diamonds,0,Scratch3Way_BIC0.25,1349.7802331161258,770.7656704917736,0.8850653912860118,114.76358580589294,None,,12.0
diamonds,0,VanillaEBM,1364.2925837938385,784.1140491363257,0.8825806341100568,12.814009189605713,None,,9.0
diamonds,0,XGBoost,1337.153837049194,758.1121762777462,0.8872056245635571,0.34120702743530273,None,,
diamonds,0,RandomForest,1331.5007997064042,751.1172854810693,0.8881573220486133,1.71156907081604,None,,
diamonds,1,Scratch3Way,1338.065218859682,779.331341892461,0.8847754193640445,100.74762988090515,None,,12.0
diamonds,1,Scratch3Way_BIC0.25,1339.3273155176391,781.6194838178394,0.8845579514258171,85.98667192459106,None,,12.0
diamonds,1,VanillaEBM,1352.470086345745,787.1313768700481,0.8822811776685667,12.572548151016235,None,,9.0
diamonds,1,XGBoost,1316.7235377809377,760.9094743654381,0.8884216922467718,0.32945775985717773,None,,
diamonds,1,RandomForest,1320.2050105492472,759.4417175128939,0.8878308766701075,1.6391410827636719,None,,
diamonds,2,Scratch3Way,1367.4653002429043,778.5650761697656,0.8818379456729658,87.45342302322388,None,,12.0
diamonds,2,Scratch3Way_BIC0.25,1365.27079125227,777.327361912917,0.8822168944067602,144.59280490875244,None,,12.0
diamonds,2,VanillaEBM,1381.2033649090856,791.7298994477918,0.879451819793426,9.750033855438232,None,,9.0
diamonds,2,XGBoost,1350.4251938620969,763.6558342475029,0.8847644532955741,0.339641809463501,None,,
diamonds,2,RandomForest,1349.5845793756425,761.0871074119124,0.8849078725991898,1.6716039180755615,None,,
elevators,0,Scratch3Way,0.0020289104195784454,0.001528650654033955,0.9076940834446466,180.8048152923584,None,,28.0
