dataset,seed,model,rmse,mae,r2,fit_time,truth_triplet,found_truth_triplet,n_terms
Ishigami_Mod,1,VanillaEBM,5.8357149945448645,4.409872703639311,0.32657059439455793,2.050752878189087,"(0, 1, 2)",0.0,6.0
Ishigami_Mod,1,XGBoost,1.4917687665787678,1.1127246248855187,0.9559945011100556,0.7615187168121338,"(0, 1, 2)",,
Ishigami_Mod,1,RandomForest,2.6228259894217,2.053374594645456,0.8639674354217979,0.2180922031402588,"(0, 1, 2)",,
Ishigami_Mod,2,Scratch3Way,4.9912377554181795,3.7129878913336656,0.47627706679111914,31.226099014282227,"(0, 1, 2)",1.0,7.0
Ishigami_Mod,2,Scratch3Way_BIC0.5,5.550569197414994,4.136796085831026,0.3523205488025305,9.30525517463684,"(0, 1, 2)",1.0,7.0
Ishigami_Mod,2,VanillaEBM,5.777871558018405,4.37282196381475,0.2981879147829404,0.831118106842041,"(0, 1, 2)",0.0,6.0
Ishigami_Mod,2,XGBoost,1.630837024767339,1.2144327990195354,0.9440878488802643,0.5981349945068359,"(0, 1, 2)",,
Ishigami_Mod,2,RandomForest,2.646652605302103,2.037219390394421,0.8527419800159829,0.2017219066619873,"(0, 1, 2)",,
Hartmann6D_Mod,0,Scratch3Way,0.40250433522338114,0.29439018735711925,0.9808218797347051,39.18288588523865,"(0, 3, 5)",1.0,12.0
Hartmann6D_Mod,0,Scratch3Way_BIC0.5,0.40834057388041284,0.29571132994746824,0.9802616892209238,22.434710025787354,"(0, 3, 5)",1.0,9.0
Hartmann6D_Mod,0,VanillaEBM,0.639628074185513,0.4857644104098026,0.9515693890562864,0.6733648777008057,"(0, 3, 5)",0.0,9.0
Hartmann6D_Mod,0,XGBoost,0.2626933100060003,0.17594968475258022,0.9918311120580725,0.7369170188903809,"(0, 3, 5)",,
Hartmann6D_Mod,0,RandomForest,0.6461290254020697,0.4160812570936453,0.9505799233397284,0.2727830410003662,"(0, 3, 5)",,
Hartmann6D_Mod,1,Scratch3Way,0.4094757775921715,0.3070408615929221,0.9841756043977355,23.10631227493286,"(0, 3, 5)",1.0,12.0
Hartmann6D_Mod,1,Scratch3Way_BIC0.5,0.42400219815217005,0.3180122706392708,0.9830329275168145,21.309559106826782,"(0, 3, 5)",1.0,9.0
Hartmann6D_Mod,1,VanillaEBM,0.5819166508173627,0.42908944713914865,0.9680410672951012,0.9456729888916016,"(0, 3, 5)",0.0,9.0
Hartmann6D_Mod,1,XGBoost,0.2692455219690075,0.1885629501094669,0.9931582425020065,0.7491841316223145,"(0, 3, 5)",,
Hartmann6D_Mod,1,RandomForest,0.6614608674003213,0.427534478179338,0.9587067551822598,0.2866790294647217,"(0, 3, 5)",,
Hartmann6D_Mod,2,Scratch3Way,0.40882696277251984,0.297056288827031,0.9825049477767063,22.62703776359558,"(0, 3, 5)",1.0,12.0
Hartmann6D_Mod,2,Scratch3Way_BIC0.5,0.40417334351742495,0.29660627674130996,0.9829009683418859,21.27586793899536,"(0, 3, 5)",1.0,9.0
Hartmann6D_Mod,2,VanillaEBM,0.6260235941223367,0.45887144449793327,0.9589779286697829,0.6768441200256348,"(0, 3, 5)",0.0,9.0
Hartmann6D_Mod,2,XGBoost,0.2581693413406326,0.18655083870015304,0.9930233728167861,0.7477679252624512,"(0, 3, 5)",,
Hartmann6D_Mod,2,RandomForest,0.6161231229235395,0.4161811359709469,0.9602651847233599,0.299854040145874,"(0, 3, 5)",,
