dataset,cyclic_refit,rmse_mean,rmse_std
Friedman1_Mod,False,2.5279185997820024,0.13656418166056197
Friedman1_Mod,True,1.3023008723483736,0.17295125150561916
Hartmann6D_Mod,False,0.6403373091684186,0.025631946551368384
Hartmann6D_Mod,True,0.3839045732924921,0.011353261750411266
Ishigami_Mod,False,4.701295050107425,0.14668066346996084
Ishigami_Mod,True,5.3001402481197815,0.17406648512290215
cpu_act,False,2.625471816657934,0.02660853789439644
cpu_act,True,2.3553329294160243,0.03049936401207661
elevators,False,0.002056514564419335,2.8975166148319284e-05
elevators,True,0.0020119015617321126,1.4037849559265044e-05
naval_propulsion_plant,False,0.00178160071034926,8.343874956278216e-05
naval_propulsion_plant,True,0.0011179743515409984,0.00015493844253986684
