dataset,model,rmse_mean,rmse_std,mae_mean,r2_mean,fit_time_mean,found_rate,n_terms_mean
abalone,RandomForest,2.198952234268317,0.07411059900912499,1.534985115809162,0.5572831318313426,0.2708396116892497,,
abalone,XGBoost,2.2105308148984704,0.07440072785604793,1.562837487923171,0.5525332061090188,0.09164921442667644,,
abalone,VanillaEBM,2.2261532641413684,0.06427105076928445,1.583614382227294,0.5460673725434734,4.492202997207642,,10.0
abalone,Scratch3Way_BIC0.5,2.2794817422889047,0.056820035447126375,1.6210718223132101,0.5237467172716186,7.39508843421936,,13.0
abalone,Scratch3Way,2.2898697806302892,0.07445697372820655,1.6272243887311646,0.5199360151576088,6.867290655771892,,13.0
cpu_act,Scratch3Way_BIC0.1,2.3229290436250314,0.019635975746806904,1.7241187833717386,0.984805286545997,55.93225924173991,,28.133333333333336
cpu_act,Scratch3Way,2.3607226349354495,0.019988853631073153,1.7494036850257324,0.9843065999217572,60.982808430989586,,31.0
cpu_act,XGBoost,2.3620576738775267,0.24721364908872884,1.5134868847399456,0.9842099459718551,1.1620876789093018,,
cpu_act,RandomForest,2.421076172504417,0.05177929703289937,1.6965099715099716,0.9834831382214393,2.0596253871917725,,
cpu_act,VanillaEBM,2.729871474914694,0.10722921053753288,1.8415794026435834,0.9789290687008809,15.453903754552206,,26.0
diamonds,RandomForest,1333.7634632104312,14.8199021827261,757.2153701352918,0.8869653571059702,1.6741046905517578,,
diamonds,XGBoost,1334.7675228974094,16.9770809350853,760.8924949635624,0.8867972567019677,0.33676886558532715,,
diamonds,Scratch3Way_BIC0.25,1351.4594466286783,13.05299972473383,776.5708387408434,0.8839467457061964,115.11435421307881,,12.0
diamonds,Scratch3Way,1352.7751795299982,14.700050733006144,777.0021694071291,0.8837215870529821,91.79649861653645,,12.0
diamonds,VanillaEBM,1365.9886783495565,14.441533049025178,787.6584418180552,0.8814378771906832,11.712197065353394,,9.0
elevators,Scratch3Way_BIC0.1,0.0020133769598263368,2.4023659068010826e-05,0.00150892231027667,0.9096068179288723,210.1569197177887,,26.0
elevators,Scratch3Way,0.002013645989275158,1.3981672901972374e-05,0.0015094098463164637,0.9095858597092666,187.264946381251,,28.0
elevators,XGBoost,0.002039255700125687,1.868272505618569e-05,0.001515817738200714,0.9072778587237402,0.5075839360555013,,
elevators,VanillaEBM,0.00230388113292026,8.970486101969263e-05,0.0016986746756089382,0.8814532061674042,14.774290005366007,,23.0
elevators,RandomForest,0.0029077401585311754,6.0509244473325616e-05,0.0019917605704529414,0.8115183883157795,2.1407790978749595,,
house_16H,XGBoost,0.0009218159542656201,4.249983778871843e-05,0.0006411949371152447,0.9960707013483269,0.5129349231719971,,
house_16H,RandomForest,0.0010848851989565436,9.764710018316268e-05,0.000526213094905387,0.994534197129514,2.181058088938395,,
house_16H,Scratch3Way,0.001121222267979419,0.00011648693896422873,0.0006886620312873572,0.9941516481355365,622.8316900730133,,24.0
house_16H,Scratch3Way_BIC0.1,0.001153185485182226,0.00014884259377251103,0.0007002963943638249,0.9937881559157455,622.8789396286011,,24.0
house_16H,VanillaEBM,0.0024804317719579684,2.4417789511366186e-05,0.0017387316733812727,0.9716004552201861,20.16382090250651,,19.0
superconduct,RandomForest,9.238197317792745,0.10974167949425365,5.193050954150731,0.9267184947150167,8.471962610880533,,
superconduct,XGBoost,9.298350946413645,0.18271561270187495,5.342603893543266,0.9257464876350303,3.691359599431356,,
superconduct,Scratch3Way,11.055242163131611,0.1385058910799075,7.28553519796998,0.8950544397576051,123.44064124425252,,91.0
superconduct,Scratch3Way_BIC0.1,11.123362251202748,0.17495216872217764,7.347671056464466,0.893751870885251,152.47743455568948,,91.0
superconduct,VanillaEBM,11.416402516626652,0.15395356515229788,7.739801243922533,0.8880860834297927,53.58704169591268,,86.0
wine_quality,RandomForest,0.5652110605095345,0.014295878318837782,0.4133820968303727,0.4523754315523347,0.2170266310373942,,
wine_quality,XGBoost,0.580746111454001,0.005977647340052613,0.4031925799330948,0.42149425329280826,0.19976258277893066,,
wine_quality,VanillaEBM,0.615174799204241,0.015638469981899515,0.47291342098213063,0.35136469429186884,3.3715402285257974,,16.0
wine_quality,Scratch3Way,0.6449715537174846,0.008366723374047987,0.4978812838105566,0.2860134214357539,3.863873243331909,,21.0
wine_quality,Scratch3Way_BIC0.5,0.6468002179562694,0.00881939659260671,0.4988348202948005,0.28199234636828036,4.217187325159709,,20.933333333333334
