max_bins,dataset,rmse_mean,rmse_std,fit_mean
32,Friedman1_Mod,1.4781093282191906,0.1608175185457673,10.282392740249634
32,Hartmann6D_Mod,0.4359803769473121,0.014071233783458374,8.328401962916056
32,Ishigami_Mod,5.045157395093191,0.15309891914562446,4.871741930643718
64,Friedman1_Mod,1.961227107040165,0.11560128118815688,9.153732935587565
64,Hartmann6D_Mod,0.49352259136402327,0.01690943475166826,8.270455280939737
64,Ishigami_Mod,5.361337729772697,0.09162480203278942,3.3249176343282065
128,Friedman1_Mod,3.393528586888879,0.1756259097142575,6.441608349482219
128,Hartmann6D_Mod,0.6526399875618951,0.025390500635042938,8.368048350016275
128,Ishigami_Mod,5.936293370244935,0.23975372135997738,2.0315558115641275
256,Friedman1_Mod,5.5576906014391385,0.30658135739419573,4.333059708277385
256,Hartmann6D_Mod,1.1467907476207742,0.06807854358241211,6.034081697463989
256,Ishigami_Mod,6.976524652598925,0.2612557428552228,2.4185149669647217
